WID	WORD	LABEL	FACTOR	VALUE
303	【雨】	61-雨	ONYOMIREAD	0.802319934665906
304	【雨】	61-雨	KUNYOMIWRITE	0.645445419794237
305	【雨】	61-雨	KUNYOMIREAD	0.787639543459204
306	【唄】	62-唄	KNOW	0.939489778844614
307	【唄】	62-唄	ONYOMIWRITE	-1.31246401962672
308	【唄】	62-唄	ONYOMIREAD	-0.981763959120779
309	【唄】	62-唄	KUNYOMIWRITE	-0.947474074291408
310	【唄】	62-唄	KUNYOMIREAD	-0.507548297509754
311	【鬱】	63-鬱	KNOW	0.782971223699728
312	【鬱】	63-鬱	ONYOMIWRITE	-1.23255577710032
313	【鬱】	63-鬱	ONYOMIREAD	-0.645876702225875
314	【鬱】	63-鬱	KUNYOMIWRITE	-1.23726932319778
315	【鬱】	63-鬱	KUNYOMIREAD	-0.643782940650631
316	【畝】	64-畝	KNOW	-0.335711066709091
317	【畝】	64-畝	ONYOMIWRITE	-1.68619603896002
318	【畝】	64-畝	ONYOMIREAD	-1.51193900211636
319	【畝】	64-畝	KUNYOMIWRITE	-1.64641263431124
320	【畝】	64-畝	KUNYOMIREAD	-1.23538819021491
321	【浦】	65-浦	KNOW	0.880844815155665
322	【浦】	65-浦	ONYOMIWRITE	-0.882033364265704
323	【浦】	65-浦	ONYOMIREAD	-0.725174216659746
324	【浦】	65-浦	KUNYOMIWRITE	-0.349110447366568
325	【浦】	65-浦	KUNYOMIREAD	-0.132134548060905
326	【運】	66-運	KNOW	1.19702362668811
327	【運】	66-運	ONYOMIWRITE	0.310181316024011
328	【運】	66-運	ONYOMIREAD	0.508655929633586
329	【運】	66-運	KUNYOMIWRITE	0.353858078523091
330	【運】	66-運	KUNYOMIREAD	0.527095840940635
331	【雲】	67-雲	KNOW	1.06091026634946
332	【雲】	67-雲	ONYOMIWRITE	0.234384116106609
333	【雲】	67-雲	ONYOMIREAD	0.453635302647088
334	【雲】	67-雲	KUNYOMIWRITE	0.358360596486453
335	【雲】	67-雲	KUNYOMIREAD	0.508014825439943
336	【永】	68-永	KNOW	0.997466823333765
337	【永】	68-永	ONYOMIWRITE	0.137162108459355
338	【永】	68-永	ONYOMIREAD	0.310275483852526
339	【永】	68-永	KUNYOMIWRITE	-0.0557219373825261
340	【永】	68-永	KUNYOMIREAD	0.0941982366672829
341	【泳】	69-泳	KNOW	1.07603034456771
342	【泳】	69-泳	ONYOMIWRITE	-0.140567294207609
343	【泳】	69-泳	ONYOMIREAD	0.13919244407565
344	【泳】	69-泳	KUNYOMIWRITE	-0.0174920179542858
345	【泳】	69-泳	KUNYOMIREAD	0.251534508097861
346	【英】	70-英	KNOW	1.06045527878565
347	【英】	70-英	ONYOMIWRITE	0.177164819052241
348	【英】	70-英	ONYOMIREAD	0.409110969636484
349	【英】	70-英	KUNYOMIWRITE	-0.352870321171738
350	【英】	70-英	KUNYOMIREAD	-0.0395932568760798
351	【映】	71-映	KNOW	1.06241021721649
352	【映】	71-映	ONYOMIWRITE	0.193877931338565
353	【映】	71-映	ONYOMIREAD	0.55174976275886
354	【映】	71-映	KUNYOMIWRITE	-0.100039492856209
355	【映】	71-映	KUNYOMIREAD	0.212796008228958
356	【栄】	72-栄	KNOW	1.09729136035337
357	【栄】	72-栄	ONYOMIWRITE	-0.000417244305423314
358	【栄】	72-栄	ONYOMIREAD	0.29405873325924
359	【栄】	72-栄	KUNYOMIWRITE	0.0582775413238051
360	【栄】	72-栄	KUNYOMIREAD	0.335657840946714
361	【営】	73-営	KNOW	0.772832934572919
362	【営】	73-営	ONYOMIWRITE	0.439219090346506
363	【営】	73-営	ONYOMIREAD	0.619101395489099
364	【営】	73-営	KUNYOMIWRITE	-0.260655182096552
365	【営】	73-営	KUNYOMIREAD	0.0131068084195486
366	【詠】	74-詠	KNOW	0.0934551721628263
367	【詠】	74-詠	ONYOMIWRITE	-0.90989265808122
368	【詠】	74-詠	ONYOMIREAD	-0.787992775426871
369	【詠】	74-詠	KUNYOMIWRITE	-0.927382327667972
370	【詠】	74-詠	KUNYOMIREAD	-0.890822765513103
371	【影】	75-影	KNOW	1.01257396518947
372	【影】	75-影	ONYOMIWRITE	0.323079760998603
373	【影】	75-影	ONYOMIREAD	0.403500196002992
374	【影】	75-影	KUNYOMIWRITE	0.246263056823584
375	【影】	75-影	KUNYOMIREAD	0.350000312285303
376	【鋭】	76-鋭	KNOW	0.700444515419533
377	【鋭】	76-鋭	ONYOMIWRITE	-0.26272079070069
378	【鋭】	76-鋭	ONYOMIREAD	-0.0822023346435769
379	【鋭】	76-鋭	KUNYOMIWRITE	-0.223911683209475
380	【鋭】	76-鋭	KUNYOMIREAD	-0.166615971159322
381	【衛】	77-衛	KNOW	0.832007724301646
382	【衛】	77-衛	ONYOMIWRITE	-0.361736665292382
383	【衛】	77-衛	ONYOMIREAD	-0.103494439769277
384	【衛】	77-衛	KUNYOMIWRITE	-0.495109120061068
385	【衛】	77-衛	KUNYOMIREAD	-0.494379807658533
386	【易】	78-易	KNOW	0.677859534804843
387	【易】	78-易	ONYOMIWRITE	-0.482853222813978
388	【易】	78-易	ONYOMIREAD	-0.362015816641026
389	【易】	78-易	KUNYOMIWRITE	-0.535521796928899
390	【易】	78-易	KUNYOMIREAD	-0.554635267202291
391	【疫】	79-疫	KNOW	0.641322129748851
392	【疫】	79-疫	ONYOMIWRITE	-0.615487450186587
393	【疫】	79-疫	ONYOMIREAD	-0.320912088876621
394	【疫】	79-疫	KUNYOMIWRITE	-1.04972996603223
395	【疫】	79-疫	KUNYOMIREAD	-0.894004159250368
